52.4705	-82.466	-21.1234
16.5656	-78.5043	59.688
67.672	-41.9702	-60.4897
-43.0608	72.5802	53.6459
-17.2613	97.9058	10.794
-95.6486	13.6762	25.7742
-66.0057	75.0737	2.68018
52.9413	-16.3856	83.239
-59.257	-67.8225	43.4594
61.5056	75.8905	21.3938
85.316	8.7687	-51.4226
51.6463	60.2638	60.8354
54.236	81.6454	-19.8111
42.6933	45.3438	-78.2382
82.6107	-0.558684	-56.3486
-73.243	-5.96441	67.8224
-69.3739	-59.356	-40.7937
-64.8435	-75.9719	4.85744
-32.5212	1.31203	94.555
-22.1716	81.0125	54.2715
-82.9919	-14.0788	53.9828
-50.369	36.485	78.3059
-19.8543	93.4616	-29.5083
19.357	-51.0096	83.8053
39.7196	18.6161	89.8654
-55.3428	-9.12043	-82.7888
33.5699	88.3592	32.6454
73.5368	-60.6547	-30.2214
25.7692	10.9924	-95.9954
-46.9198	12.772	-87.3808
2.4843	33.6745	94.1268
58.2042	-41.0667	70.184
-10.419	99.1373	7.95207
-60.4556	60.2988	52.0497
-93.9139	-7.41192	33.5448
-38.0886	-7.66491	-92.1439
-46.5855	19.2493	86.367
81.3617	-37.782	44.1905
-18.7908	85.8543	47.7069
-60.9764	-73.6873	-29.1903
-28.3201	-68.8116	-66.8052
-60.4276	23.8792	76.015
44.9024	-82.6581	-33.9326
8.13349	61.1896	78.6745
-54.6981	74.9286	37.334
94.7574	-26.5847	17.728
-38.3229	-58.1843	71.7353
-49.2326	19.6503	84.794
-62.4067	46.2847	62.9534
-22.8769	-52.1606	82.1944
-81.7812	9.03381	-56.835
51.5917	-16.673	84.0257
38.821	51.8131	76.2124
-62.6299	-76.7612	-13.6093
-65.6927	-61.3765	-43.7881
20.6983	-89.9371	-38.5084
-79.0714	27.3315	-54.7787
34.2051	82.6267	-44.7531
-92.4602	-34.238	-16.6997
28.1356	50.8804	81.3608
52.92	40.0835	-74.7849
-85.3237	2.44335	52.095
49.0776	-4.71673	87.0008
-38.927	-89.1004	-23.3623
-0.139288	-96.4884	-26.2673
-23.1339	81.2248	-53.5477
-74.1192	-43.5127	-51.1175
50.9773	72.4265	46.4297
57.0784	57.42	58.6941
